GENESIS-Tabelle: 23211-0002
Gestorbene: Deutschland, Jahre, Todesursachen, Geschlecht;;;;
Todesursachenstatistik;;;;
Deutschland;;;;
Gestorbene (Anzahl);;;;
;;Geschlecht;Geschlecht;Geschlecht
1980;Transportmittelunfälle;11315;4404;15719
1980;Stürze;4244;7211;11455
1980;Ertrinken und Untergehen;816;298;1114
1980;Exposition gegenüber Rauch, Feuer und Flammen;406;360;766
1980;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);567;577;1144
1980;Vorsätzliche Selbstbeschädigung;11789;6662;18451
1980;Tätlicher Angriff;456;383;839
1980;Ereignis, dessen nähere Umstände unbestimmt sind;1152;776;1928
1980;Insgesamt;455917;496439;952356
1981;Bestimmte infektiöse und parasitäre Krankheiten;3209;2516;5725
1981;Tuberkulose einschließlich ihrer Folgezustände;1696;731;2427
1981;Meningokokkeninfektion;71;72;143
1981;Virushepatitis;84;78;162
1981;HIV-Krankheit;-;-;-
1981;Neubildungen;100150;102105;202255
1981;Bösartige Neubildungen (BN);96540;97570;194110
1981;BN der Lippe, der Mundhöhle und des Pharynx;1972;606;2578
1981;BN des Ösophagus;1986;709;2695
1981;BN des Magens;11505;10706;22211
1981;BN des Dickdarms;6756;10217;16973
1981;BN des Rektums, des Anus und am Rektosigmoid;4984;5278;10262
1981;BN der Leber, der Gallenwege und des Pankreas;7525;11027;18552
1981;BN der Leber und der intrahepatischen Gallengänge;1845;1798;3643
1981;BN des Pankreas;4132;4460;8592
1981;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;27808;5067;32875
1981;BN der Bronchien und der Lunge;26397;4925;31322
1981;Melanom und sonstige bösartige Neubild. der Haut;1026;1106;2132
1981;Bösartiges Melanom der Haut;798;871;1669
1981;BN der Brustdrüse;108;15311;15419
1981;BN der Genital- und Harnorgane;16984;19103;36087
1981;BN der Cervix uteri;-;3281;3281
1981;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;-;3731;3731
1981;BN des Ovars;-;5588;5588
1981;BN der Prostata;9219;-;9219
1981;BN der Niere, ausgenommen Nierenbecken;2579;1829;4408
1981;BN der Harnblase;4161;1746;5907
1981;BN d. lymphat., blutbild. u. verwandten Gewebes;5566;5524;11090
1981;Leukämie;3010;2990;6000
1981;Gutartige Neubildungen;377;490;867
1981;Krankheiten des Blutes u. der blutbildenden Organe;924;1343;2267
1981;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;6916;14016;20932
1981;Diabetes mellitus;5856;12179;18035
1981;Psychische und Verhaltensstörungen;3703;2271;5974
1981;Psychische und Verhaltensstörungen durch Alkohol;2669;826;3495
1981;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;317;142;459
1981;Krankheiten d. Nervensystems u. d. Sinnesorgane;4641;5058;9699
1981;Meningitis;264;209;473
1981;Krankheiten des Kreislaufsystems;220868;284361;505229
1981;Hypertonie (Hochdruckkrankheit);10646;21633;32279
1981;Ischämische Herzkrankheiten;88898;74008;162906
1981;Akuter oder rezidivierender Myokardinfarkt;56480;36380;92860
1981;Sonstige Formen der Herzkrankheit;39473;61339;100812
1981;Sonstige Krankheiten des Endokards;1305;2213;3518
1981;Zerebrovaskuläre Krankheiten;47645;77479;125124
1981;Schlaganfall, nicht als Blutung oder Infarkt bez.;26402;42828;69230
1981;Krankheiten der Arterien, Arteriolen und Kapillare;25661;38890;64551
1981;Krankheiten des Atmungssystems;32809;21745;54554
1981;Grippe;317;549;866
1981;Pneumonie;7396;9222;16618
1981;Chronische Krankheiten der unteren Atemwege;21782;9574;31356
1981;Asthma;3692;2637;6329
1981;COVID-19, Virus nachgewiesen;-;-;-
1981;COVID-19, Virus nicht nachgewiesen;-;-;-
1981;Krankheiten des Verdauungssystems;24986;21976;46962
1981;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;3022;2252;5274
1981;Krankheiten der Leber;13447;7230;20677
1981;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;12727;6646;19373
1981;Krankheiten der Haut und der Unterhaut;258;555;813
1981;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;936;2627;3563
1981;Chronische Polyarthritis und Arthrose;312;1327;1639
1981;Krankheiten des Urogenitalsystems;7501;6868;14369
1981;Krankheiten der Niere;4648;6300;10948
1981;Schwangerschaft, Geburt und Wochenbett;-;160;160
1981;Best.Zustände mit Ursprung in der Perinatalperiode;2805;2027;4832
1981;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;2019;1679;3698
1981;Angeborene Fehlbildungen des Nervensystems;353;333;686
1981;Angeborene Fehlbildungen des Kreislaufsystems;919;728;1647
1981;Symptome und abnorme klinische und Laborbefunde;8429;10170;18599
1981;Plötzlicher Kindstod;465;309;774
1981;Sonst. ungenau bezeichnete u. unbek. Todesursachen;5463;4141;9604
1981;Äußere Ursachen von Morbidität und Mortalität;33059;21683;54742
1981;Unfälle einschließlich Spätfolgen;19304;13943;33247
1981;Transportmittelunfälle;10445;4080;14525
1981;Stürze;4181;7440;11621
1981;Ertrinken und Untergehen;820;279;1099
1981;Exposition gegenüber Rauch, Feuer und Flammen;458;339;797
1981;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);579;589;1168
1981;Vorsätzliche Selbstbeschädigung;12192;6633;18825
1981;Tätlicher Angriff;490;407;897
1981;Ereignis, dessen nähere Umstände unbestimmt sind;1030;698;1728
1981;Insgesamt;453213;501160;954373
1982;Bestimmte infektiöse und parasitäre Krankheiten;3101;2633;5734
1982;Tuberkulose einschließlich ihrer Folgezustände;1558;703;2261
1982;Meningokokkeninfektion;89;62;151
1982;Virushepatitis;111;93;204
1982;HIV-Krankheit;-;-;-
1982;Neubildungen;100383;102621;203004
1982;Bösartige Neubildungen (BN);96870;98393;195263
1982;BN der Lippe, der Mundhöhle und des Pharynx;2131;700;2831
1982;BN des Ösophagus;2048;723;2771
1982;BN des Magens;11239;10524;21763
1982;BN des Dickdarms;6951;10344;17295
1982;BN des Rektums, des Anus und am Rektosigmoid;4762;5295;10057
1982;BN der Leber, der Gallenwege und des Pankreas;7448;11230;18678
1982;BN der Leber und der intrahepatischen Gallengänge;1875;1765;3640
1982;BN des Pankreas;4159;4732;8891
1982;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;27674;5233;32907
1982;BN der Bronchien und der Lunge;26259;5065;31324
1982;Melanom und sonstige bösartige Neubild. der Haut;1038;1161;2199
1982;Bösartiges Melanom der Haut;811;874;1685
1982;BN der Brustdrüse;115;15413;15528
1982;BN der Genital- und Harnorgane;17134;18941;36075
1982;BN der Cervix uteri;-;3010;3010
1982;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;-;3561;3561
1982;BN des Ovars;-;5803;5803
1982;BN der Prostata;9168;-;9168
1982;BN der Niere, ausgenommen Nierenbecken;2641;1871;4512
1982;BN der Harnblase;4272;1869;6141
1982;BN d. lymphat., blutbild. u. verwandten Gewebes;5837;5620;11457
1982;Leukämie;3223;3092;6315
1982;Gutartige Neubildungen;360;462;822
1982;Krankheiten des Blutes u. der blutbildenden Organe;957;1365;2322
1982;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;6425;12730;19155
1982;Diabetes mellitus;5376;11106;16482
1982;Psychische und Verhaltensstörungen;3541;2388;5929
1982;Psychische und Verhaltensstörungen durch Alkohol;2518;779;3297
1982;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;319;153;472
1982;Krankheiten d. Nervensystems u. d. Sinnesorgane;4608;5273;9881
1982;Meningitis;259;222;481
1982;Krankheiten des Kreislaufsystems;215578;279750;495328
1982;Hypertonie (Hochdruckkrankheit);10054;20776;30830
1982;Ischämische Herzkrankheiten;87824;74422;162246
1982;Akuter oder rezidivierender Myokardinfarkt;54905;36139;91044
1982;Sonstige Formen der Herzkrankheit;37927;60075;98002
1982;Sonstige Krankheiten des Endokards;1371;2242;3613
1982;Zerebrovaskuläre Krankheiten;45299;74465;119764
1982;Schlaganfall, nicht als Blutung oder Infarkt bez.;25205;41240;66445
1982;Krankheiten der Arterien, Arteriolen und Kapillare;25643;38674;64317
1982;Krankheiten des Atmungssystems;33305;23317;56622
1982;Grippe;224;327;551
1982;Pneumonie;8740;11100;19840
1982;Chronische Krankheiten der unteren Atemwege;20852;9498;30350
1982;Asthma;3599;2757;6356
1982;COVID-19, Virus nachgewiesen;-;-;-
1982;COVID-19, Virus nicht nachgewiesen;-;-;-
1982;Krankheiten des Verdauungssystems;24007;21746;45753
1982;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;2888;2269;5157
1982;Krankheiten der Leber;12612;6951;19563
1982;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;11803;6357;18160
1982;Krankheiten der Haut und der Unterhaut;254;608;862
1982;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;879;2409;3288
1982;Chronische Polyarthritis und Arthrose;335;1176;1511
1982;Krankheiten des Urogenitalsystems;7032;6863;13895
1982;Krankheiten der Niere;4491;6203;10694
1982;Schwangerschaft, Geburt und Wochenbett;-;139;139
1982;Best.Zustände mit Ursprung in der Perinatalperiode;2563;1836;4399
1982;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;1868;1689;3557
1982;Angeborene Fehlbildungen des Nervensystems;315;302;617
1982;Angeborene Fehlbildungen des Kreislaufsystems;841;706;1547
1982;Symptome und abnorme klinische und Laborbefunde;8696;10356;19052
1982;Plötzlicher Kindstod;489;321;810
1982;Sonst. ungenau bezeichnete u. unbek. Todesursachen;5829;4438;10267
1982;Äußere Ursachen von Morbidität und Mortalität;33142;21720;54862
1982;Unfälle einschließlich Spätfolgen;19157;14134;33291
1982;Transportmittelunfälle;10113;3970;14083
1982;Stürze;4159;7387;11546
1982;Ertrinken und Untergehen;848;292;1140
1982;Exposition gegenüber Rauch, Feuer und Flammen;399;349;748
1982;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);609;587;1196
1982;Vorsätzliche Selbstbeschädigung;12274;6437;18711
1982;Tätlicher Angriff;463;411;874
1982;Ereignis, dessen nähere Umstände unbestimmt sind;1227;738;1965
1982;Insgesamt;446339;497443;943782
1983;Bestimmte infektiöse und parasitäre Krankheiten;2949;2481;5430
1983;Tuberkulose einschließlich ihrer Folgezustände;1334;672;2006
1983;Meningokokkeninfektion;80;45;125
1983;Virushepatitis;124;93;217
1983;HIV-Krankheit;-;-;-
1983;Neubildungen;101314;103418;204732
1983;Bösartige Neubildungen (BN);97902;99128;197030
1983;BN der Lippe, der Mundhöhle und des Pharynx;2271;711;2982
1983;BN des Ösophagus;2178;723;2901
1983;BN des Magens;10766;10165;20931
1983;BN des Dickdarms;7084;10887;17971
1983;BN des Rektums, des Anus und am Rektosigmoid;4715;5383;10098
1983;BN der Leber, der Gallenwege und des Pankreas;7702;11372;19074
1983;BN der Leber und der intrahepatischen Gallengänge;1981;1750;3731
1983;BN des Pankreas;4140;4819;8959
1983;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;28224;5491;33715
1983;BN der Bronchien und der Lunge;26640;5345;31985
1983;Melanom und sonstige bösartige Neubild. der Haut;1023;1076;2099
1983;Bösartiges Melanom der Haut;807;838;1645
1983;BN der Brustdrüse;107;15886;15993
1983;BN der Genital- und Harnorgane;17658;18928;36586
1983;BN der Cervix uteri;-;3052;3052
1983;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;-;3541;3541
1983;BN des Ovars;-;5891;5891
1983;BN der Prostata;9584;-;9584
1983;BN der Niere, ausgenommen Nierenbecken;2722;1864;4586
1983;BN der Harnblase;4270;1785;6055
1983;BN d. lymphat., blutbild. u. verwandten Gewebes;5688;5672;11360
1983;Leukämie;2985;3018;6003
1983;Gutartige Neubildungen;365;449;814
1983;Krankheiten des Blutes u. der blutbildenden Organe;929;1341;2270
1983;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;6298;12952;19250
1983;Diabetes mellitus;5402;11369;16771
1983;Psychische und Verhaltensstörungen;3655;2424;6079
1983;Psychische und Verhaltensstörungen durch Alkohol;2527;760;3287
1983;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;392;149;541
1983;Krankheiten d. Nervensystems u. d. Sinnesorgane;4571;5108;9679
1983;Meningitis;204;233;437
1983;Krankheiten des Kreislaufsystems;213454;278995;492449
1983;Hypertonie (Hochdruckkrankheit);9315;19836;29151
1983;Ischämische Herzkrankheiten;88201;76734;164935
1983;Akuter oder rezidivierender Myokardinfarkt;54458;36666;91124
1983;Sonstige Formen der Herzkrankheit;37295;59219;96514
1983;Sonstige Krankheiten des Endokards;1305;2333;3638
1983;Zerebrovaskuläre Krankheiten;45185;73363;118548
1983;Schlaganfall, nicht als Blutung oder Infarkt bez.;25515;40686;66201
1983;Krankheiten der Arterien, Arteriolen und Kapillare;24861;38681;63542
1983;Krankheiten des Atmungssystems;33809;24821;58630
1983;Grippe;412;794;1206
1983;Pneumonie;9487;11897;21384
1983;Chronische Krankheiten der unteren Atemwege;20706;9554;30260
1983;Asthma;3592;2623;6215
1983;COVID-19, Virus nachgewiesen;-;-;-
1983;COVID-19, Virus nicht nachgewiesen;-;-;-
1983;Krankheiten des Verdauungssystems;23341;21298;44639
1983;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;2675;2275;4950
1983;Krankheiten der Leber;12439;6848;19287
1983;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;11729;6273;18002
1983;Krankheiten der Haut und der Unterhaut;225;641;866
1983;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;936;2396;3332
1983;Chronische Polyarthritis und Arthrose;321;1238;1559
1983;Krankheiten des Urogenitalsystems;6305;6407;12712
1983;Krankheiten der Niere;4092;5755;9847
1983;Schwangerschaft, Geburt und Wochenbett;-;110;110
1983;Best.Zustände mit Ursprung in der Perinatalperiode;2322;1648;3970
1983;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;1861;1526;3387
1983;Angeborene Fehlbildungen des Nervensystems;290;274;564
1983;Angeborene Fehlbildungen des Kreislaufsystems;811;623;1434
1983;Symptome und abnorme klinische und Laborbefunde;8580;10830;19410
1983;Plötzlicher Kindstod;442;309;751
1983;Sonst. ungenau bezeichnete u. unbek. Todesursachen;5430;4131;9561
1983;Äußere Ursachen von Morbidität und Mortalität;32500;21583;54083
1983;Unfälle einschließlich Spätfolgen;18872;13967;32839
1983;Transportmittelunfälle;10090;4114;14204
1983;Stürze;3967;6979;10946
1983;Ertrinken und Untergehen;836;270;1106
1983;Exposition gegenüber Rauch, Feuer und Flammen;359;317;676
1983;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);551;479;1030
1983;Vorsätzliche Selbstbeschädigung;11921;6496;18417
1983;Tätlicher Angriff;445;403;848
1983;Ereignis, dessen nähere Umstände unbestimmt sind;1231;717;1948
1983;Insgesamt;443049;497979;941028
1984;Bestimmte infektiöse und parasitäre Krankheiten;2793;2473;5266
1984;Tuberkulose einschließlich ihrer Folgezustände;1223;585;1808
1984;Meningokokkeninfektion;62;53;115
1984;Virushepatitis;133;101;234
1984;HIV-Krankheit;-;-;-
1984;Neubildungen;100344;102496;202840
1984;Bösartige Neubildungen (BN);96794;98107;194901
1984;BN der Lippe, der Mundhöhle und des Pharynx;2413;703;3116
1984;BN des Ösophagus;2216;676;2892
1984;BN des Magens;10172;9639;19811
1984;BN des Dickdarms;7224;10987;18211
1984;BN des Rektums, des Anus und am Rektosigmoid;4659;5081;9740
1984;BN der Leber, der Gallenwege und des Pankreas;7694;11288;18982
1984;BN der Leber und der intrahepatischen Gallengänge;1942;1646;3588
1984;BN des Pankreas;4273;4789;9062
1984;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;27931;5658;33589
1984;BN der Bronchien und der Lunge;26413;5514;31927
1984;Melanom und sonstige bösartige Neubild. der Haut;1028;1101;2129
1984;Bösartiges Melanom der Haut;798;850;1648
1984;BN der Brustdrüse;104;15775;15879
1984;BN der Genital- und Harnorgane;17543;19054;36597
1984;BN der Cervix uteri;-;3077;3077
1984;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;-;3518;3518
1984;BN des Ovars;-;5929;5929
1984;BN der Prostata;9423;-;9423
1984;BN der Niere, ausgenommen Nierenbecken;2745;2031;4776
1984;BN der Harnblase;4268;1890;6158
1984;BN d. lymphat., blutbild. u. verwandten Gewebes;5658;5871;11529
1984;Leukämie;2889;3090;5979
1984;Gutartige Neubildungen;366;493;859
1984;Krankheiten des Blutes u. der blutbildenden Organe;917;1306;2223
1984;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;6207;12892;19099
1984;Diabetes mellitus;5251;11324;16575
1984;Psychische und Verhaltensstörungen;3726;2376;6102
1984;Psychische und Verhaltensstörungen durch Alkohol;2642;757;3399
1984;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;339;145;484
1984;Krankheiten d. Nervensystems u. d. Sinnesorgane;4422;4821;9243
1984;Meningitis;212;205;417
1984;Krankheiten des Kreislaufsystems;208709;273052;481761
1984;Hypertonie (Hochdruckkrankheit);8836;18390;27226
1984;Ischämische Herzkrankheiten;88405;78509;166914
1984;Akuter oder rezidivierender Myokardinfarkt;52890;36458;89348
1984;Sonstige Formen der Herzkrankheit;36140;56145;92285
1984;Sonstige Krankheiten des Endokards;1293;2243;3536
1984;Zerebrovaskuläre Krankheiten;42910;70502;113412
1984;Schlaganfall, nicht als Blutung oder Infarkt bez.;24143;39918;64061
1984;Krankheiten der Arterien, Arteriolen und Kapillare;23844;37969;61813
1984;Krankheiten des Atmungssystems;32448;23795;56243
1984;Grippe;181;335;516
1984;Pneumonie;8969;11372;20341
1984;Chronische Krankheiten der unteren Atemwege;20154;9593;29747
1984;Asthma;3541;2797;6338
1984;COVID-19, Virus nachgewiesen;-;-;-
1984;COVID-19, Virus nicht nachgewiesen;-;-;-
1984;Krankheiten des Verdauungssystems;21837;20289;42126
1984;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;2406;2083;4489
1984;Krankheiten der Leber;11651;6572;18223
1984;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;11004;6025;17029
1984;Krankheiten der Haut und der Unterhaut;281;671;952
1984;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;788;2052;2840
1984;Chronische Polyarthritis und Arthrose;280;1063;1343
1984;Krankheiten des Urogenitalsystems;5898;6265;12163
1984;Krankheiten der Niere;3968;5666;9634
1984;Schwangerschaft, Geburt und Wochenbett;-;104;104
1984;Best.Zustände mit Ursprung in der Perinatalperiode;2175;1536;3711
1984;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;1613;1495;3108
1984;Angeborene Fehlbildungen des Nervensystems;247;257;504
1984;Angeborene Fehlbildungen des Kreislaufsystems;761;636;1397
1984;Symptome und abnorme klinische und Laborbefunde;8232;10296;18528
1984;Plötzlicher Kindstod;479;328;807
1984;Sonst. ungenau bezeichnete u. unbek. Todesursachen;5311;3965;9276
1984;Äußere Ursachen von Morbidität und Mortalität;30463;20509;50972
1984;Unfälle einschließlich Spätfolgen;17218;13294;30512
1984;Transportmittelunfälle;8939;3811;12750
1984;Stürze;3857;6902;10759
1984;Ertrinken und Untergehen;641;236;877
1984;Exposition gegenüber Rauch, Feuer und Flammen;389;292;681
1984;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);496;506;1002
1984;Vorsätzliche Selbstbeschädigung;11610;6067;17677
1984;Tätlicher Angriff;445;459;904
1984;Ereignis, dessen nähere Umstände unbestimmt sind;1175;687;1862
1984;Insgesamt;430853;486428;917281
1985;Bestimmte infektiöse und parasitäre Krankheiten;2896;2770;5666
1985;Tuberkulose einschließlich ihrer Folgezustände;1151;549;1700
1985;Meningokokkeninfektion;68;66;134
1985;Virushepatitis;137;95;232
1985;HIV-Krankheit;-;-;-
1985;Neubildungen;101509;103255;204764
1985;Bösartige Neubildungen (BN);98387;99335;197722
1985;BN der Lippe, der Mundhöhle und des Pharynx;2602;728;3330
1985;BN des Ösophagus;2383;668;3051
1985;BN des Magens;9892;9509;19401
1985;BN des Dickdarms;7479;11371;18850
1985;BN des Rektums, des Anus und am Rektosigmoid;4599;5145;9744
1985;BN der Leber, der Gallenwege und des Pankreas;7869;11204;19073
1985;BN der Leber und der intrahepatischen Gallengänge;2047;1598;3645
1985;BN des Pankreas;4361;5023;9384
1985;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;28274;5693;33967
1985;BN der Bronchien und der Lunge;26779;5509;32288
1985;Melanom und sonstige bösartige Neubild. der Haut;1087;1114;2201
1985;Bösartiges Melanom der Haut;848;835;1683
1985;BN der Brustdrüse;97;16301;16398
1985;BN der Genital- und Harnorgane;17675;18844;36519
1985;BN der Cervix uteri;-;3028;3028
1985;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;-;3362;3362
1985;BN des Ovars;-;5923;5923
1985;BN der Prostata;9522;-;9522
1985;BN der Niere, ausgenommen Nierenbecken;2606;2056;4662
1985;BN der Harnblase;4343;1847;6190
1985;BN d. lymphat., blutbild. u. verwandten Gewebes;6120;6220;12340
1985;Leukämie;3038;3110;6148
1985;Gutartige Neubildungen;334;488;822
1985;Krankheiten des Blutes u. der blutbildenden Organe;930;1296;2226
1985;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;6386;12843;19229
1985;Diabetes mellitus;5423;11194;16617
1985;Psychische und Verhaltensstörungen;3720;2472;6192
1985;Psychische und Verhaltensstörungen durch Alkohol;2655;781;3436
1985;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;308;152;460
1985;Krankheiten d. Nervensystems u. d. Sinnesorgane;4599;5137;9736
1985;Meningitis;209;199;408
1985;Krankheiten des Kreislaufsystems;210633;281020;491653
1985;Hypertonie (Hochdruckkrankheit);8888;18696;27584
1985;Ischämische Herzkrankheiten;90183;82328;172511
1985;Akuter oder rezidivierender Myokardinfarkt;53216;37211;90427
1985;Sonstige Formen der Herzkrankheit;36040;57572;93612
1985;Sonstige Krankheiten des Endokards;1333;2213;3546
1985;Zerebrovaskuläre Krankheiten;42610;71546;114156
1985;Schlaganfall, nicht als Blutung oder Infarkt bez.;23916;40345;64261
1985;Krankheiten der Arterien, Arteriolen und Kapillare;23837;38796;62633
1985;Krankheiten des Atmungssystems;33676;24844;58520
1985;Grippe;301;580;881
1985;Pneumonie;8911;11302;20213
1985;Chronische Krankheiten der unteren Atemwege;21183;10219;31402
1985;Asthma;3754;2933;6687
1985;COVID-19, Virus nachgewiesen;-;-;-
1985;COVID-19, Virus nicht nachgewiesen;-;-;-
1985;Krankheiten des Verdauungssystems;21564;20502;42066
1985;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;2283;2145;4428
1985;Krankheiten der Leber;11645;6673;18318
1985;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;10983;6150;17133
1985;Krankheiten der Haut und der Unterhaut;247;696;943
1985;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;776;2035;2811
1985;Chronische Polyarthritis und Arthrose;325;1114;1439
1985;Krankheiten des Urogenitalsystems;5991;6396;12387
1985;Krankheiten der Niere;4083;5732;9815
1985;Schwangerschaft, Geburt und Wochenbett;-;100;100
