TIME,GEO,Value
2000W12,Niedersachsen,"1,65"
2000W12,Nordrhein-Westfalen,"3,656"
2000W12,Rheinland-Pfalz,858
2000W12,Saarland,259
2000W12,Sachsen,938
2000W12,Sachsen-Anhalt,576
2000W12,Schleswig-Holstein,588
2000W12,Th�ringen,507
2000W13,Germany (until 1990 former territory of the FRG),"16,238"
2000W13,Baden-W�rttemberg,"1,879"
2000W13,Bayern,"2,299"
2000W13,Berlin,667
2000W13,Brandenburg,494
2000W13,Bremen,140
2000W13,Hamburg,340
2000W13,Hessen,"1,112"
2000W13,Mecklenburg-Vorpommern,316
2000W13,Niedersachsen,"1,582"
2000W13,Nordrhein-Westfalen,"3,695"
2000W13,Rheinland-Pfalz,820
2000W13,Saarland,242
2000W13,Sachsen,940
2000W13,Sachsen-Anhalt,595
2000W13,Schleswig-Holstein,618
2000W13,Th�ringen,499
2000W14,Germany (until 1990 former territory of the FRG),"15,915"
2000W14,Baden-W�rttemberg,"1,829"
2000W14,Bayern,"2,209"
2000W14,Berlin,608
2000W14,Brandenburg,476
2000W14,Bremen,142
2000W14,Hamburg,368
2000W14,Hessen,"1,164"
2000W14,Mecklenburg-Vorpommern,348
2000W14,Niedersachsen,"1,562"
2000W14,Nordrhein-Westfalen,"3,609"
2000W14,Rheinland-Pfalz,768
2000W14,Saarland,228
2000W14,Sachsen,997
2000W14,Sachsen-Anhalt,572
2000W14,Schleswig-Holstein,579
2000W14,Th�ringen,456
2000W15,Germany (until 1990 former territory of the FRG),"15,997"
2000W15,Baden-W�rttemberg,"1,823"
2000W15,Bayern,"2,267"
2000W15,Berlin,628
2000W15,Brandenburg,464
2000W15,Bremen,134
2000W15,Hamburg,316
2000W15,Hessen,"1,164"
2000W15,Mecklenburg-Vorpommern,360
2000W15,Niedersachsen,"1,553"
2000W15,Nordrhein-Westfalen,"3,606"
2000W15,Rheinland-Pfalz,827
2000W15,Saarland,263
2000W15,Sachsen,987
2000W15,Sachsen-Anhalt,562
2000W15,Schleswig-Holstein,577
2000W15,Th�ringen,466
2000W16,Germany (until 1990 former territory of the FRG),"16,082"
2000W16,Baden-W�rttemberg,"1,731"
2000W16,Bayern,"2,321"
2000W16,Berlin,627
2000W16,Brandenburg,502
2000W16,Bremen,143
2000W16,Hamburg,352
2000W16,Hessen,"1,22"
2000W16,Mecklenburg-Vorpommern,324
2000W16,Niedersachsen,"1,554"
2000W16,Nordrhein-Westfalen,"3,548"
2000W16,Rheinland-Pfalz,866
2000W16,Saarland,233
2000W16,Sachsen,977
2000W16,Sachsen-Anhalt,598
2000W16,Schleswig-Holstein,537
2000W16,Th�ringen,549
2000W17,Germany (until 1990 former territory of the FRG),"15,618"
2000W17,Baden-W�rttemberg,"1,738"
2000W17,Bayern,"2,098"
2000W17,Berlin,679
2000W17,Brandenburg,522
2000W17,Bremen,135
2000W17,Hamburg,382
2000W17,Hessen,"1,121"
2000W17,Mecklenburg-Vorpommern,326
2000W17,Niedersachsen,"1,547"
2000W17,Nordrhein-Westfalen,"3,476"
2000W17,Rheinland-Pfalz,771
2000W17,Saarland,232
2000W17,Sachsen,969
2000W17,Sachsen-Anhalt,553
2000W17,Schleswig-Holstein,583
2000W17,Th�ringen,486
2000W18,Germany (until 1990 former territory of the FRG),"15,142"
2000W18,Baden-W�rttemberg,"1,735"
2000W18,Bayern,"2,14"
2000W18,Berlin,636
2000W18,Brandenburg,473
2000W18,Bremen,145
2000W18,Hamburg,306
2000W18,Hessen,"1,088"
2000W18,Mecklenburg-Vorpommern,304
2000W18,Niedersachsen,"1,46"
2000W18,Nordrhein-Westfalen,"3,428"
2000W18,Rheinland-Pfalz,707
2000W18,Saarland,223
2000W18,Sachsen,949
2000W18,Sachsen-Anhalt,560
2000W18,Schleswig-Holstein,499
2000W18,Th�ringen,489
2000W19,Germany (until 1990 former territory of the FRG),"15,384"
2000W19,Baden-W�rttemberg,"1,712"
2000W19,Bayern,"2,246"
2000W19,Berlin,611
2000W19,Brandenburg,469
2000W19,Bremen,142
2000W19,Hamburg,341
2000W19,Hessen,"1,136"
2000W19,Mecklenburg-Vorpommern,315
2000W19,Niedersachsen,"1,521"
2000W19,Nordrhein-Westfalen,"3,439"
2000W19,Rheinland-Pfalz,795
2000W19,Saarland,221
2000W19,Sachsen,909
2000W19,Sachsen-Anhalt,547
2000W19,Schleswig-Holstein,523
2000W19,Th�ringen,457
2000W20,Germany (until 1990 former territory of the FRG),"15,311"
2000W20,Baden-W�rttemberg,"1,685"
2000W20,Bayern,"2,095"
2000W20,Berlin,664
2000W20,Brandenburg,529
2000W20,Bremen,145
2000W20,Hamburg,330
2000W20,Hessen,"1,042"
2000W20,Mecklenburg-Vorpommern,346
2000W20,Niedersachsen,"1,524"
2000W20,Nordrhein-Westfalen,"3,439"
2000W20,Rheinland-Pfalz,738
2000W20,Saarland,213
2000W20,Sachsen,923
2000W20,Sachsen-Anhalt,560
2000W20,Schleswig-Holstein,615
2000W20,Th�ringen,463
2000W21,Germany (until 1990 former territory of the FRG),"14,67"
2000W21,Baden-W�rttemberg,"1,609"
2000W21,Bayern,"2,111"
2000W21,Berlin,588
2000W21,Brandenburg,492
2000W21,Bremen,130
2000W21,Hamburg,291
2000W21,Hessen,"1,071"
2000W21,Mecklenburg-Vorpommern,303
2000W21,Niedersachsen,"1,447"
2000W21,Nordrhein-Westfalen,"3,223"
2000W21,Rheinland-Pfalz,741
2000W21,Saarland,217
2000W21,Sachsen,914
2000W21,Sachsen-Anhalt,553
2000W21,Schleswig-Holstein,512
2000W21,Th�ringen,468
2000W22,Germany (until 1990 former territory of the FRG),"15,271"
2000W22,Baden-W�rttemberg,"1,674"
2000W22,Bayern,"2,107"
2000W22,Berlin,591
2000W22,Brandenburg,498
2000W22,Bremen,151
2000W22,Hamburg,354
2000W22,Hessen,"1,061"
2000W22,Mecklenburg-Vorpommern,341
2000W22,Niedersachsen,"1,502"
2000W22,Nordrhein-Westfalen,"3,488"
2000W22,Rheinland-Pfalz,765
2000W22,Saarland,215
2000W22,Sachsen,915
2000W22,Sachsen-Anhalt,553
2000W22,Schleswig-Holstein,545
2000W22,Th�ringen,511
2000W23,Germany (until 1990 former territory of the FRG),"15,292"
2000W23,Baden-W�rttemberg,"1,773"
2000W23,Bayern,"2,144"
2000W23,Berlin,603
2000W23,Brandenburg,501
2000W23,Bremen,146
2000W23,Hamburg,340
2000W23,Hessen,"1,146"
2000W23,Mecklenburg-Vorpommern,333
2000W23,Niedersachsen,"1,476"
2000W23,Nordrhein-Westfalen,"3,299"
2000W23,Rheinland-Pfalz,778
2000W23,Saarland,245
2000W23,Sachsen,923
2000W23,Sachsen-Anhalt,576
2000W23,Schleswig-Holstein,533
2000W23,Th�ringen,476
2000W24,Germany (until 1990 former territory of the FRG),"14,695"
2000W24,Baden-W�rttemberg,"1,675"
2000W24,Bayern,"2,067"
2000W24,Berlin,563
2000W24,Brandenburg,478
2000W24,Bremen,122
2000W24,Hamburg,351
2000W24,Hessen,"1,024"
2000W24,Mecklenburg-Vorpommern,315
2000W24,Niedersachsen,"1,504"
2000W24,Nordrhein-Westfalen,"3,196"
2000W24,Rheinland-Pfalz,705
2000W24,Saarland,226
2000W24,Sachsen,900
2000W24,Sachsen-Anhalt,550
2000W24,Schleswig-Holstein,546
2000W24,Th�ringen,473
2000W25,Germany (until 1990 former territory of the FRG),"15,949"
2000W25,Baden-W�rttemberg,"1,741"
2000W25,Bayern,"2,145"
2000W25,Berlin,654
2000W25,Brandenburg,531
2000W25,Bremen,147
2000W25,Hamburg,367
2000W25,Hessen,"1,097"
2000W25,Mecklenburg-Vorpommern,365
2000W25,Niedersachsen,"1,588"
2000W25,Nordrhein-Westfalen,"3,682"
2000W25,Rheinland-Pfalz,768
2000W25,Saarland,223
2000W25,Sachsen,975
2000W25,Sachsen-Anhalt,600
2000W25,Schleswig-Holstein,588
2000W25,Th�ringen,478
2000W26,Germany (until 1990 former territory of the FRG),"14,549"
2000W26,Baden-W�rttemberg,"1,696"
2000W26,Bayern,"2,011"
2000W26,Berlin,549
2000W26,Brandenburg,467
2000W26,Bremen,130
2000W26,Hamburg,327
2000W26,Hessen,"1,089"
2000W26,Mecklenburg-Vorpommern,318
2000W26,Niedersachsen,"1,381"
2000W26,Nordrhein-Westfalen,"3,216"
2000W26,Rheinland-Pfalz,729
2000W26,Saarland,233
2000W26,Sachsen,934
2000W26,Sachsen-Anhalt,518
2000W26,Schleswig-Holstein,494
2000W26,Th�ringen,457
2000W27,Germany (until 1990 former territory of the FRG),"14,642"
2000W27,Baden-W�rttemberg,"1,63"
2000W27,Bayern,"2,106"
2000W27,Berlin,604
2000W27,Brandenburg,459
2000W27,Bremen,134
2000W27,Hamburg,323
2000W27,Hessen,"1,055"
2000W27,Mecklenburg-Vorpommern,288
2000W27,Niedersachsen,"1,446"
2000W27,Nordrhein-Westfalen,"3,159"
2000W27,Rheinland-Pfalz,765
2000W27,Saarland,203
2000W27,Sachsen,933
2000W27,Sachsen-Anhalt,537
2000W27,Schleswig-Holstein,539
2000W27,Th�ringen,461
2000W28,Germany (until 1990 former territory of the FRG),"14,442"
2000W28,Baden-W�rttemberg,"1,61"
2000W28,Bayern,"1,961"
2000W28,Berlin,576
2000W28,Brandenburg,476
2000W28,Bremen,152
2000W28,Hamburg,345
2000W28,Hessen,"1,056"
2000W28,Mecklenburg-Vorpommern,313
2000W28,Niedersachsen,"1,423"
2000W28,Nordrhein-Westfalen,"3,181"
2000W28,Rheinland-Pfalz,739
2000W28,Saarland,220
2000W28,Sachsen,891
2000W28,Sachsen-Anhalt,529
2000W28,Schleswig-Holstein,508
2000W28,Th�ringen,462
2000W29,Germany (until 1990 former territory of the FRG),"14,737"
2000W29,Baden-W�rttemberg,"1,665"
2000W29,Bayern,"2,165"
2000W29,Berlin,560
2000W29,Brandenburg,459
2000W29,Bremen,158
2000W29,Hamburg,284
2000W29,Hessen,"1,059"
2000W29,Mecklenburg-Vorpommern,299
2000W29,Niedersachsen,"1,472"
2000W29,Nordrhein-Westfalen,"3,302"
2000W29,Rheinland-Pfalz,754
2000W29,Saarland,219
2000W29,Sachsen,850
2000W29,Sachsen-Anhalt,546
2000W29,Schleswig-Holstein,498
2000W29,Th�ringen,447
2000W30,Germany (until 1990 former territory of the FRG),"14,936"
2000W30,Baden-W�rttemberg,"1,677"
2000W30,Bayern,"2,136"
2000W30,Berlin,616
2000W30,Brandenburg,482
2000W30,Bremen,120
2000W30,Hamburg,321
2000W30,Hessen,"1,054"
2000W30,Mecklenburg-Vorpommern,282
2000W30,Niedersachsen,"1,514"
2000W30,Nordrhein-Westfalen,"3,362"
2000W30,Rheinland-Pfalz,719
2000W30,Saarland,218
2000W30,Sachsen,881
2000W30,Sachsen-Anhalt,561
2000W30,Schleswig-Holstein,505
2000W30,Th�ringen,488
2000W31,Germany (until 1990 former territory of the FRG),"14,96"
2000W31,Baden-W�rttemberg,"1,62"
2000W31,Bayern,"2,104"
2000W31,Berlin,576
2000W31,Brandenburg,478
2000W31,Bremen,126
2000W31,Hamburg,322
2000W31,Hessen,"1,015"
2000W31,Mecklenburg-Vorpommern,303
2000W31,Niedersachsen,"1,53"
2000W31,Nordrhein-Westfalen,"3,424"
2000W31,Rheinland-Pfalz,754
2000W31,Saarland,216
2000W31,Sachsen,923
2000W31,Sachsen-Anhalt,527
2000W31,Schleswig-Holstein,555
2000W31,Th�ringen,487
2000W32,Germany (until 1990 former territory of the FRG),"14,735"
2000W32,Baden-W�rttemberg,"1,759"
2000W32,Bayern,"2,13"
2000W32,Berlin,564
2000W32,Brandenburg,434
2000W32,Bremen,127
2000W32,Hamburg,308
2000W32,Hessen,"1,039"
2000W32,Mecklenburg-Vorpommern,299
2000W32,Niedersachsen,"1,459"
2000W32,Nordrhein-Westfalen,"3,223"
2000W32,Rheinland-Pfalz,777
2000W32,Saarland,208
2000W32,Sachsen,886
2000W32,Sachsen-Anhalt,557
2000W32,Schleswig-Holstein,527
2000W32,Th�ringen,438
2000W33,Germany (until 1990 former territory of the FRG),"15,503"
2000W33,Baden-W�rttemberg,"1,813"
2000W33,Bayern,"2,233"
2000W33,Berlin,612
2000W33,Brandenburg,506
2000W33,Bremen,134
2000W33,Hamburg,304
2000W33,Hessen,"1,072"
2000W33,Mecklenburg-Vorpommern,343
2000W33,Niedersachsen,"1,547"
2000W33,Nordrhein-Westfalen,"3,405"
2000W33,Rheinland-Pfalz,765
2000W33,Saarland,223
2000W33,Sachsen,943
2000W33,Sachsen-Anhalt,586
2000W33,Schleswig-Holstein,509
2000W33,Th�ringen,508
2000W34,Germany (until 1990 former territory of the FRG),"14,168"
2000W34,Baden-W�rttemberg,"1,591"
2000W34,Bayern,"1,998"
2000W34,Berlin,562
2000W34,Brandenburg,451
2000W34,Bremen,126
2000W34,Hamburg,306
2000W34,Hessen,"1,022"
2000W34,Mecklenburg-Vorpommern,293
2000W34,Niedersachsen,"1,444"
2000W34,Nordrhein-Westfalen,"3,128"
2000W34,Rheinland-Pfalz,674
2000W34,Saarland,220
2000W34,Sachsen,878
2000W34,Sachsen-Anhalt,502
2000W34,Schleswig-Holstein,511
2000W34,Th�ringen,462
2000W35,Germany (until 1990 former territory of the FRG),"14,472"
2000W35,Baden-W�rttemberg,"1,597"
2000W35,Bayern,"2,036"
2000W35,Berlin,627
2000W35,Brandenburg,435
2000W35,Bremen,144
2000W35,Hamburg,330
2000W35,Hessen,"1,067"
2000W35,Mecklenburg-Vorpommern,315
2000W35,Niedersachsen,"1,439"
2000W35,Nordrhein-Westfalen,"3,185"
2000W35,Rheinland-Pfalz,711
2000W35,Saarland,214
2000W35,Sachsen,921
2000W35,Sachsen-Anhalt,519
2000W35,Schleswig-Holstein,481
2000W35,Th�ringen,451
2000W36,Germany (until 1990 former territory of the FRG),"14,816"
2000W36,Baden-W�rttemberg,"1,704"
2000W36,Bayern,"2,076"
2000W36,Berlin,597
2000W36,Brandenburg,431
2000W36,Bremen,126
2000W36,Hamburg,316
2000W36,Hessen,"1,054"
2000W36,Mecklenburg-Vorpommern,284
2000W36,Niedersachsen,"1,489"
2000W36,Nordrhein-Westfalen,"3,387"
2000W36,Rheinland-Pfalz,704
2000W36,Saarland,199
2000W36,Sachsen,885
2000W36,Sachsen-Anhalt,529
2000W36,Schleswig-Holstein,534
2000W36,Th�ringen,501
2000W37,Germany (until 1990 former territory of the FRG),"14,959"
2000W37,Baden-W�rttemberg,"1,679"
2000W37,Bayern,"2,123"
2000W37,Berlin,561
2000W37,Brandenburg,461
2000W37,Bremen,132
2000W37,Hamburg,322
2000W37,Hessen,"1,103"
2000W37,Mecklenburg-Vorpommern,336
2000W37,Niedersachsen,"1,443"
2000W37,Nordrhein-Westfalen,"3,39"
2000W37,Rheinland-Pfalz,804
2000W37,Saarland,214
2000W37,Sachsen,879
2000W37,Sachsen-Anhalt,545
2000W37,Schleswig-Holstein,497
2000W37,Th�ringen,470
2000W38,Germany (until 1990 former territory of the FRG),"14,775"
2000W38,Baden-W�rttemberg,"1,725"
2000W38,Bayern,"2,062"
2000W38,Berlin,618
2000W38,Brandenburg,459
2000W38,Bremen,153
2000W38,Hamburg,339
2000W38,Hessen,"1,05"
2000W38,Mecklenburg-Vorpommern,313
2000W38,Niedersachsen,"1,452"
2000W38,Nordrhein-Westfalen,"3,313"
2000W38,Rheinland-Pfalz,727
2000W38,Saarland,209
2000W38,Sachsen,892
2000W38,Sachsen-Anhalt,501
2000W38,Schleswig-Holstein,537
2000W38,Th�ringen,425
2000W39,Germany (until 1990 former territory of the FRG),"15,062"
2000W39,Baden-W�rttemberg,"1,695"
2000W39,Bayern,"2,115"
2000W39,Berlin,628
2000W39,Brandenburg,488
2000W39,Bremen,145
2000W39,Hamburg,321
2000W39,Hessen,"1,084"
2000W39,Mecklenburg-Vorpommern,316
2000W39,Niedersachsen,"1,514"
2000W39,Nordrhein-Westfalen,"3,303"
2000W39,Rheinland-Pfalz,782
2000W39,Saarland,224
2000W39,Sachsen,898
2000W39,Sachsen-Anhalt,515
2000W39,Schleswig-Holstein,567
2000W39,Th�ringen,467
2000W40,Germany (until 1990 former territory of the FRG),"14,87"
2000W40,Baden-W�rttemberg,"1,677"
2000W40,Bayern,"2,132"
2000W40,Berlin,592
2000W40,Brandenburg,496
2000W40,Bremen,129
2000W40,Hamburg,320
2000W40,Hessen,"1,057"
2000W40,Mecklenburg-Vorpommern,338
2000W40,Niedersachsen,"1,492"
2000W40,Nordrhein-Westfalen,"3,241"
2000W40,Rheinland-Pfalz,772
2000W40,Saarland,213
2000W40,Sachsen,845
2000W40,Sachsen-Anhalt,536
2000W40,Schleswig-Holstein,538
2000W40,Th�ringen,492
2000W41,Germany (until 1990 former territory of the FRG),"15,824"
2000W41,Baden-W�rttemberg,"1,789"
2000W41,Bayern,"2,243"
2000W41,Berlin,617
2000W41,Brandenburg,487
2000W41,Bremen,142
2000W41,Hamburg,352
2000W41,Hessen,"1,089"
2000W41,Mecklenburg-Vorpommern,332
2000W41,Niedersachsen,"1,573"
2000W41,Nordrhein-Westfalen,"3,557"
2000W41,Rheinland-Pfalz,809
2000W41,Saarland,241
2000W41,Sachsen,974
2000W41,Sachsen-Anhalt,549
2000W41,Schleswig-Holstein,583
2000W41,Th�ringen,487
2000W42,Germany (until 1990 former territory of the FRG),"15,623"
2000W42,Baden-W�rttemberg,"1,746"
2000W42,Bayern,"2,179"
2000W42,Berlin,617
2000W42,Brandenburg,455
2000W42,Bremen,151
2000W42,Hamburg,357
2000W42,Hessen,"1,126"
2000W42,Mecklenburg-Vorpommern,343
2000W42,Niedersachsen,"1,541"
2000W42,Nordrhein-Westfalen,"3,585"
2000W42,Rheinland-Pfalz,794
2000W42,Saarland,200
2000W42,Sachsen,903
2000W42,Sachsen-Anhalt,563
2000W42,Schleswig-Holstein,567
2000W42,Th�ringen,496
2000W43,Germany (until 1990 former territory of the FRG),"15,623"
2000W43,Baden-W�rttemberg,"1,831"
2000W43,Bayern,"2,302"
2000W43,Berlin,609
2000W43,Brandenburg,473
2000W43,Bremen,125
2000W43,Hamburg,348
2000W43,Hessen,"1,11"
2000W43,Mecklenburg-Vorpommern,328
2000W43,Niedersachsen,"1,561"
2000W43,Nordrhein-Westfalen,"3,38"
2000W43,Rheinland-Pfalz,790
2000W43,Saarland,235
2000W43,Sachsen,903
2000W43,Sachsen-Anhalt,584
2000W43,Schleswig-Holstein,556
2000W43,Th�ringen,488
2000W44,Germany (until 1990 former territory of the FRG),"15,759"
2000W44,Baden-W�rttemberg,"1,718"
2000W44,Bayern,"2,254"
2000W44,Berlin,640
2000W44,Brandenburg,464
2000W44,Bremen,136
2000W44,Hamburg,365
2000W44,Hessen,"1,162"
2000W44,Mecklenburg-Vorpommern,345
2000W44,Niedersachsen,"1,649"
2000W44,Nordrhein-Westfalen,"3,465"
2000W44,Rheinland-Pfalz,800
2000W44,Saarland,211
2000W44,Sachsen,914
2000W44,Sachsen-Anhalt,581
2000W44,Schleswig-Holstein,577
2000W44,Th�ringen,478
2000W45,Germany (until 1990 former territory of the FRG),"16,051"
2000W45,Baden-W�rttemberg,"1,805"
2000W45,Bayern,"2,297"
2000W45,Berlin,625
2000W45,Brandenburg,481
2000W45,Bremen,130
2000W45,Hamburg,346
2000W45,Hessen,"1,151"
2000W45,Mecklenburg-Vorpommern,330
2000W45,Niedersachsen,"1,584"
2000W45,Nordrhein-Westfalen,"3,704"
2000W45,Rheinland-Pfalz,810
2000W45,Saarland,235
2000W45,Sachsen,937
2000W45,Sachsen-Anhalt,596
2000W45,Schleswig-Holstein,533
2000W45,Th�ringen,487
2000W46,Germany (until 1990 former territory of the FRG),"16,102"
2000W46,Baden-W�rttemberg,"1,865"
2000W46,Bayern,"2,334"
2000W46,Berlin,637
2000W46,Brandenburg,498
2000W46,Bremen,135
2000W46,Hamburg,345
2000W46,Hessen,"1,142"
2000W46,Mecklenburg-Vorpommern,335
2000W46,Niedersachsen,"1,648"
2000W46,Nordrhein-Westfalen,"3,537"
2000W46,Rheinland-Pfalz,812
2000W46,Saarland,221
2000W46,Sachsen,962
2000W46,Sachsen-Anhalt,578
2000W46,Schleswig-Holstein,560
2000W46,Th�ringen,493
2000W47,Germany (until 1990 former territory of the FRG),"16,006"
2000W47,Baden-W�rttemberg,"1,863"
2000W47,Bayern,"2,306"
2000W47,Berlin,661
2000W47,Brandenburg,496
2000W47,Bremen,157
2000W47,Hamburg,344
2000W47,Hessen,"1,16"
2000W47,Mecklenburg-Vorpommern,348
2000W47,Niedersachsen,"1,617"
2000W47,Nordrhein-Westfalen,"3,539"
2000W47,Rheinland-Pfalz,786
2000W47,Saarland,215
2000W47,Sachsen,975
2000W47,Sachsen-Anhalt,570
2000W47,Schleswig-Holstein,514
2000W47,Th�ringen,455
2000W48,Germany (until 1990 former territory of the FRG),"16,027"
2000W48,Baden-W�rttemberg,"1,816"
2000W48,Bayern,"2,267"
